id,evento_id,usuario_id,cantidad,total,estado,preference_id,payment_id,creada_en,usada,transferida
1,9,2,1,5000.0,pagada,GA-F95642FD851D,,2026-04-13 14:50:26.201877,0,0
2,9,2,1,5000.0,pagada,GA-392F760680A1,,2026-04-13 15:02:52.377420,0,0
3,9,2,1,5000.0,pagada,GA-B690EDA5AC12,,2026-04-13 15:05:47.049728,0,0
41,13,2,1,10.0,pendiente,,,2026-05-07 21:41:00.512608,0,0
42,13,2,1,10.0,pendiente,,,2026-05-07 21:44:20.409686,0,0
43,13,2,1,10.0,pendiente,,,2026-05-07 21:50:39.763361,0,0
44,13,2,1,10.0,pendiente,,,2026-05-07 21:54:16.900046,0,0
45,13,2,1,10.0,pendiente,,,2026-05-07 22:00:40.031263,0,0
15,13,2,1,1.0,pagada,GA-S0GIIDFS3Z,,2026-04-17 18:46:52.785273,1,0
5,9,2,1,1.0,pagada,GA-690370,,2026-04-13 17:56:10.430293,0,0
6,9,2,1,1.0,pagada,GA-209026,,2026-04-13 17:58:25.871901,0,0
7,9,2,1,1.0,pagada,GA-585668,,2026-04-13 18:08:40.259170,0,0
4,9,2,1,1.0,pagada,GA-XB3IHRH9KK,,2026-04-13 15:47:27.158170,0,0
8,9,2,1,1.0,pendiente,,,2026-04-13 18:25:47.227157,0,0
9,9,2,1,1.0,pendiente,,,2026-04-13 18:33:27.502142,0,0
10,9,2,1,1.0,pendiente,,,2026-04-13 18:38:39.412659,0,0
11,9,2,1,1.0,pendiente,,,2026-04-13 19:04:05.666753,0,0
12,1,2,1,45000.0,pendiente,,,2026-04-13 19:34:24.575685,0,0
13,8,2,1,38000.0,pendiente,,,2026-04-13 19:38:43.000833,0,0
14,9,2,1,1.0,pagada,GA-Y6VR7DFSMA,,2026-04-13 19:46:00.584327,1,0
16,13,2,1,1.0,pagada,GA-3L5BYAIOLR,,2026-04-17 19:35:35.295071,0,0
18,13,2,1,1.0,pagada,GA-GOA0P5GIQJ,,2026-04-20 18:04:03.579835,0,0
19,13,2,1,1.0,pendiente,,,2026-04-24 15:19:58.429337,0,0
20,13,2,1,1.0,pendiente,,,2026-04-24 15:20:01.164820,0,0
21,14,2,1,1.0,pendiente,,,2026-04-24 15:22:15.151098,0,0
22,14,2,1,1.2,pendiente,,,2026-04-24 17:19:11.686504,0,0
23,14,2,1,1.33,pendiente,,,2026-04-24 18:09:14.218565,0,0
24,14,2,1,1.33,pendiente,,,2026-04-24 18:11:43.698339,0,0
25,14,2,1,1.0,pendiente,,,2026-04-24 18:31:27.435247,0,0
17,13,2,1,1.0,pagada,GA-H0C9XF1IM0,,2026-04-20 18:00:45.456473,0,0
26,13,2,1,1.0,pagada,GA-RZQDYXT80H,,2026-05-07 15:51:22.300513,0,0
27,13,2,1,10.0,pagada,GA-BDN97K8TQB,,2026-05-07 17:21:50.850966,0,0
28,13,2,1,10.0,pendiente,,,2026-05-07 21:08:02.120830,0,0
29,13,2,1,10.0,pendiente,,,2026-05-07 21:08:33.364306,0,0
30,13,2,1,10.0,pendiente,,,2026-05-07 21:15:59.820036,0,0
31,13,2,1,10.0,pendiente,,,2026-05-07 21:19:35.748034,0,0
32,13,2,1,10.0,pendiente,,,2026-05-07 21:19:44.708475,0,0
33,13,2,1,10.0,pendiente,,,2026-05-07 21:22:42.752465,0,0
34,13,2,1,10.0,pendiente,,,2026-05-07 21:25:41.544999,0,0
35,13,2,1,10.0,pendiente,,,2026-05-07 21:25:51.724464,0,0
36,13,2,1,10.0,pendiente,,,2026-05-07 21:28:13.408821,0,0
37,13,2,1,10.0,pendiente,,,2026-05-07 21:30:45.712316,0,0
38,13,2,1,10.0,pendiente,,,2026-05-07 21:34:05.104032,0,0
39,13,2,1,10.0,pendiente,,,2026-05-07 21:37:39.513374,0,0
40,13,2,1,10.0,pendiente,,,2026-05-07 21:40:50.730020,0,0
