id,nombre,descripcion,fecha,lugar,precio,capacidad,vendidos,imagen,categoria,creado_por,comision
13,Día del animal,Evento para la adopción de animales,2026-05-12,Parque Central,15.0,100,31,"[""https://xgwbcepopluehupublkz.supabase.co/storage/v1/object/public/eventos-images/d39987fd-a957-4bf4-9dac-3d6c13c91db3.jpg"", ""https://xgwbcepopluehupublkz.supabase.co/storage/v1/object/public/eventos-images/b6cbd4e4-c87b-4249-bc15-66dd785eb2a0.jpg"", ""https://xgwbcepopluehupublkz.supabase.co/storage/v1/object/public/eventos-images/a72b5a0c-e0c2-4e9f-99ec-d352a5746e53.jpg"", ""https://xgwbcepopluehupublkz.supabase.co/storage/v1/object/public/eventos-images/87560efd-bfd6-47db-a724-b41d5b3a6b79.jpg""]",espectaculo,1,0.0
6,Cirque du Soleil - O,El espectáculo acuático más impresionante del mundo.,2026-05-25,"Estadio GEBA, Buenos Aires",12000.0,3000,1202,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=800,espectaculo,1,0.0
3,Superclásico River vs Boca,El partido más apasionante del fútbol argentino.,2026-05-10,"La Bombonera, Buenos Aires",15000.0,49000,45000,"[""images/6bfa1c18-63cd-4480-9fe4-f579db0735b8.jpg""]",deportes,1,10.0
4,Show de Stand Up,El comediante más gracioso del país presenta su nuevo show.,2026-04-04,"Teatro Metropolitan, Av. Corrientes 1343, Cdad. Autónoma de Buenos Aires",22001.0,500,200,https://images.unsplash.com/photo-1527224857830-43a7acc85260?w=800,comedia,1,0.0
7,Conferencia Tech Summit 2026,Los líderes tecnológicos del mundo comparten el futuro de la IA.,2026-08-10,"Centro de Convenciones, Buenos Aires",25000.0,2000,502,https://images.unsplash.com/photo-1540575467063-178a50c2df87?w=800,conferencia,1,0.0
1,Coldplay - Music of the Spheres,Gira mundial con producción spectacular,2026-06-15,"Estadio River Plate, Buenos Aires",45000.0,50000,5002,https://images.unsplash.com/photo-1540039155733-5bb30b53aa14?w=800,musica,1,0.0
5,Festival Electrónico 2026,"3 escenarios, 20 DJs internacionales, 12 horas de música continua.",2026-07-20,"Rural Palermo, Buenos Aires",8000.0,15000,8000,https://images.unsplash.com/photo-1470225620780-dba8ba36b745?w=800,musica,1,0.0
8,Roger Waters - This Is Not A Drill,El legendario líder de Pink Floyd presenta su gira de regreso.,2026-09-15,"Estadio Monumental, Buenos Aires",38000.0,65000,60001,https://images.unsplash.com/photo-1598387993441-a364f854c3e1?w=800,musica,1,0.0
2,Flamenco en Buenos Aires,Una noche mágica con los mejores artistas del flamenco español.,2026-10-20,"Teatro Colón, Buenos Aires",8499.0,800,150,https://images.unsplash.com/photo-1504609813442-a8924e83f76e?w=800,teatro,1,0.0
9,Conferencia Anual de Telecomunicaciones,Ámbito tecnológico para el diálogo de las nuevas tecnologías de comunicación,2026-10-01,Bustelo,1.0,100,6,https://images.unsplash.com/photo-1501281668745-f7f57925c3b4?w=800,,1,5.0
